birth,count,sex,percentage,census
Total,12877635,Female,100,2021
Total,12545154,Male,100,2021
Australia,8581034,Female,66.63517020011827,2021
Australia,8439389,Male,67.27210363459866,2021
Not Stated,703103,Male,5.604578469104485,2021
Not Stated,655553,Female,5.090631936687132,2021
England,468645,Male,3.7356655805102115,2021
England,458844,Female,3.5631076668969106,2021
Other,394222,Female,3.061291922002759,2021
Other,364949,Male,2.909083459637084,2021
India,362187,Male,2.887066990170069,2021
India,311166,Female,2.4163287746546627,2021
China,309663,Female,2.404657376917423,2021
New Zealand,267327,Male,2.130918440698297,2021
New Zealand,263171,Female,2.04362835256629,2021
China,239951,Male,1.9126987201591945,2021
Philippines,180856,Female,1.4044193673760748,2021
Vietnam,145441,Female,1.1294076901542869,2021
Philippines,113035,Male,0.9010252086184035,2021
Vietnam,112554,Male,0.8971910587944955,2021
South Africa,96255,Female,0.7474586754477821,2021
South Africa,92953,Male,0.7409474606688766,2021
Malaysia,88429,Female,0.6866866470434982,2021
Italy,83073,Male,0.6621919507723859,2021
Italy,80253,Female,0.6231967282812412,2021
Malaysia,77184,Male,0.6152495218472408,2021
Sri Lanka,67794,Male,0.5403999026237541,2021
Nepal,66427,Male,0.5295032647666182,2021
Sri Lanka,64107,Female,0.49781656336741953,2021
Scotland,59481,Female,0.46189381823603476,2021
Scotland,59014,Male,0.47041271872788487,2021
Thailand,58704,Female,0.455860101641334,2021
Korea South,56125,Female,0.4358331324035819,2021
Nepal,56076,Female,0.4354526277534656,2021
Germany,54249,Female,0.4212652400848448,2021
Hong Kong,52910,Female,0.4108673681153411,2021
Pakistan,52683,Male,0.419947016991581,2021
United States America,52677,Female,0.40905802967703314,2021
Indonesia,51081,Female,0.3966644496446747,2021
Greece,48717,Female,0.3783070416268205,2021
United States America,48636,Male,0.38768754851474924,2021
Hong Kong,47242,Male,0.3765756881103253,2021
Germany,47003,Male,0.3746705700065539,2021
Iraq,46973,Male,0.3744314338429006,2021
Korea South,45971,Male,0.36644428597688,2021
Iraq,45947,Female,0.35679688079371713,2021
Lebanon,45144,Male,0.3598520990655037,2021
Greece,43590,Male,0.34746484578826214,2021
Ireland,42709,Male,0.3404422137823099,2021
Lebanon,42197,Female,0.32767662695828853,2021
Ireland,38225,Female,0.29683245409580256,2021
Iran,37321,Male,0.2974933587901751,2021
Fiji,36971,Female,0.2870946412132352,2021
Pakistan,36947,Female,0.2869082715886885,2021
Indonesia,35996,Male,0.2869315115621538,2021
Afghanistan,33906,Male,0.2702716921609731,2021
Iran,33579,Female,0.2607544009439622,2021
Singapore,33364,Female,0.25908483972406426,2021
Netherlands,33264,Female,0.25830829962178614,2021
Netherlands,33216,Male,0.26477156039694694,2021
Fiji,31976,Male,0.25488726563261,2021
Japan,31723,Female,0.2463418166456807,2021
Taiwan,29464,Female,0.22879977573521848,2021
Singapore,27693,Male,0.2207465926683722,2021
Canada,27671,Female,0.21487641170137217,2021
Bangladesh,27557,Male,0.21966250872647716,2021
Poland,26389,Female,0.20492116759016696,2021
Afghanistan,25897,Female,0.20110059028695873,2021
Thailand,25075,Male,0.19987797678689317,2021
Brazil,25073,Female,0.19470189984418723,2021
Bangladesh,23934,Female,0.18585710807923972,2021
Canada,22552,Male,0.17976662542364966,2021
Egypt,22371,Male,0.17832383723627468,2021
Croatia,22350,Female,0.17355671285915464,2021
Cambodia,21889,Female,0.16997686298765263,2021
Brazil,21645,Male,0.1725367420758645,2021
North Macedonia,21346,Female,0.16576025023228258,2021
Croatia,20962,Male,0.1670924087500241,2021
Egypt,20841,Female,0.16183872271577818,2021
North Macedonia,20436,Male,0.16289955468063605,2021
Zimbabwe,20376,Female,0.158227811240185,2021
Taiwan,20041,Male,0.15975092852586742,2021
Turkey,19916,Male,0.15875452784397864,2021
Myanmar,19636,Female,0.1524814144833271,2021
Myanmar,19532,Male,0.15569358494921626,2021
Poland,19491,Male,0.15536676552555673,2021
Zimbabwe,19338,Male,0.15414717109092482,2021
Turkey,18656,Female,0.14487132148100176,2021
France,18338,Male,0.14617596563581442,2021
Malta,17751,Female,0.13784363355538498,2021
France,17687,Female,0.13734664788992698,2021
Malta,17668,Male,0.14083525798089047,2021
Cambodia,17152,Male,0.13672211596605352,2021
Papua New Guinea,16806,Female,0.13050532958885697,2021
Chile,15649,Female,0.12152076060549938,2021
Wales,15234,Male,0.12143334390315177,2021
Chile,14217,Male,0.1133266279553045,2021
Samoa,14129,Male,0.11262516187525479,2021
Wales,14014,Female,0.1088243299332525,2021
Samoa,13982,Female,0.1085758371005235,2021
Bosnia Herzegov,13599,Female,0.10560168850879839,2021
Japan,13543,Male,0.10795403547856008,2021
Mauritius,13413,Female,0.10415732391856113,2021
Papua New Guinea,13179,Male,0.10505251669289992,2021
Bosnia Herzegov,12574,Male,0.10022993739255812,2021
Mauritius,12565,Male,0.10015819654346213,2021
