iso3c,country,date,confirmed,deaths,recovered,ecdc_cases,ecdc_deaths,total_tests,tests_units,positive_rate,hosp_patients,icu_patients,total_vaccinations,soc_dist,mov_rest,pub_health,gov_soc_econ,lockdown,apple_mtr_driving,apple_mtr_walking,apple_mtr_transit,gcmr_place_id,gcmr_retail_recreation,gcmr_grocery_pharmacy,gcmr_parks,gcmr_transit_stations,gcmr_workplaces,gcmr_residential,gtrends_score,gtrends_country_score,region,income,population,land_area_skm,pop_density,pop_largest_city,life_expectancy,gdp_capita,timestamp
AUS,Australia,2020-01-22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,107.4,103.88,107.03,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-23,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,115.65,112.4,106.64,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,109.66,117.27,100.19,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-25,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,88.59,103.02,90.61,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-26,4,0,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,85.18,87.4,81.83,NA,NA,NA,NA,NA,NA,NA,24,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-27,5,0,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,95.91,96.18,101.78,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-28,5,0,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,99.4,100.57,104.81,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-29,6,0,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,99.92,100.25,103.03,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-30,9,0,2,6,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,103.04,100.73,101.91,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
AUS,Australia,2020-01-31,9,0,2,7,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,103.73,108.69,97.77,NA,NA,NA,NA,NA,NA,NA,NA,55,East Asia & Pacific,High income,25739256,7692020,3.34024963533636,5061439,83.2,58780.3330605266,2022-11-16T03:11:56Z
